tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,target
0x0018,0.483737693,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,ddos
0x0018,0.000000000,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.012233982,28,,,,,,,,,,,,,0,0x30,,26,iot/temperature,32352e393635303834,,3,,,0,0,,,,,,,,slowite
0x0018,0.644432150,20,,,,,,,,,,,,,0,0x30,,18,iot/intensity,323434,,3,,,0,0,,,,,,,,slowite
0x0018,0.341341176,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.880314038,20,,,,,,,,,,,,,0,0x30,,18,iot/move,302e313838303030,,3,,,0,0,,,,,,,,slowite
0x0018,0.114996688,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,1.005292161,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.219654157,28,,,,,,,,,,,,,0,0x30,,26,iot/temperature,32362e393438393237,,3,,,0,0,,,,,,,,slowite
0x0018,0.780458057,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,1.000736674,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.870503965,19,,,,,,,,,,,,,0,0x30,,17,iot/intensity,3137,,3,,,0,0,,,,,,,,slowite
0x0018,0.133007232,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,1.008604405,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.994635795,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.936822192,20,,,,,,,,,,,,,0,0x30,,18,iot/move,302e343230313030,,3,,,0,0,,,,,,,,slowite
0x0018,0.067490184,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.225598297,28,,,,,,,,,,,,,0,0x30,,26,iot/temperature,32382e353637383731,,3,,,0,0,,,,,,,,slowite
0x0018,0.775596667,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,1.000871819,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,1.007996355,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
0x0018,0.217442329,28,,,,,,,,,,,,,0,0x30,,26,iot/temperature,32382e383236303430,,3,,,0,0,,,,,,,,slowite
0x0018,0.780438981,42,,,,,,,,,,,,,0,0x30,,40,iot/intensity-response,4d657373616765205265636569766564,,3,,,0,0,,,,,,,,slowite
