tcp.flags,tcp.time_delta,tcp.len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.topic,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len,Line_origin,Line_prediction
"0x0018","0.000966029","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.005130091","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3534",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.010562314","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e383335383030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.013655035","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32372e313339313531",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.000070259","88",,,,,,,,,,,,,"0","0x31",,"58","iot/anomalies","414e4f4d414cc38d412064657465637461646120656e20746f7069636f3a696f742f616e6f6d616c696573",,"3",,,"0","1",,,,,,,,legitimate,malformed
"0x0018","0.750318244","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","2.953760048","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33302e383938393532",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.008220833","19",,,,,,,,,,,,,"0","0x30",,"17","iot/intensity","3239",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.009279675","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","33332e323931303339",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.014682627","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e393339353030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.000000000","42",,,,,,,,,,,,,"0","0x30",,"40","iot/intensity-response","4d657373616765205265636569766564",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.001681021","29",,,,,"1","0","0","0","0","0","0","0x02",,"0x10","60","27",,,,"1","4","MQTT",,,,,"4",,,,,UNKNOWN,legitimate
"0x0018","0.013126666","20",,,,,,,,,,,,,"0","0x30",,"18","iot/move","302e373533333030",,"3",,,"0","0",,,,,,,,legitimate,legitimate
"0x0018","0.010035714","28",,,,,,,,,,,,,"0","0x30",,"26","iot/temperature","32302e303331363730",,"3",,,"0","0",,,,,,,,legitimate,malformed
"0x0018","0.009139735","20",,,,,,,,,,,,,"0","0x30",,"18","iot/intensity","313439",,"3",,,"0","0",,,,,,,,legitimate,legitimate
